The ,king, ,died, and ,then, the ,queen, ,died,.
    ,kint, ,wied,     ,quen,     ,sneen, ,wied,
    ,kine, ,dood,     ,thun,     ,wheen, ,dood,
    ,kive, ,doed,     ,thep,     ,freen, ,doud,
    ,kibs, ,deud,     ,thon,     ,theen, ,doed,
    ,kimp, ,doud,     ,fren,     ,queep, ,deud,
    ,kire, ,fied,     ,sken,     ,sween, ,fied,
    ,kile, ,dien,     ,scen,     ,queed, ,dien,
    ,kims, ,sied,     ,smen,     ,queem, ,mied,
    ,kide, ,dier,     ,dren,     ,skeen, ,dier,
    ,kist, ,mied,     ,twen,     ,bleen, ,sied,
,Louis, ,Allen,", 21, of ",Hammersmith,", ",was, ,knifed, by a ,young, ,woman, ,wandering, about by ,night, in the ,military, ,zone,.
,Teeis, ,Atten,         ,Hammerscews,  ,wam, ,knirps,      ,yount, ,wesan, ,gunsering,          ,nimes,        ,pemicary, ,zine,
,Toois, ,Asten,         ,Hammerslape,  ,wap, ,knimbs,      ,youse, ,welan, ,guncering,          ,nides,        ,pemilary, ,zove,
,Feeis, ,Adden,         ,Hammerwhews,  ,waw, ,knirch,      ,yound, ,wexan, ,gensering,          ,niffs,        ,pesilary, ,zobs,
,Tieis, ,Ammen,         ,Hammersnape,  ,fas, ,knisps,      ,youls, ,giman, ,gencering,          ,nibes,        ,pesicary, ,zows,
,Teuis, ,Ampen,         ,Hammerglape,  ,wis, ,knibed,      ,youst, ,geman, ,gallering,          ,niles,        ,pasicary, ,zane,
,Teais, ,Anden,         ,Hammerfrape,  ,wes, ,knilms,      ,youle, ,gopan, ,garrering,          ,niced,        ,pasilary, ,zore,
,Toeis, ,Annen,         ,Hammerquype,  ,wos, ,knafed,      ,youte, ,golan, ,gassering,          ,nirds,        ,pamicary, ,zosh,
,Foeis, ,Anten,         ,Hammerblape,  ,wab, ,knisks,      ,youch, ,gosan, ,ginsering,          ,ninge,        ,pamilary, ,zond,
,Faeis, ,Appen,         ,Hammerwroke,  ,wak, ,knibes,      ,yoult, ,guman, ,gincering,          ,nikes,        ,posicary, ,zose,
,Feais, ,Allid,         ,Hammerwrogs,  ,wal, ,knirge,      ,youpe, ,wevan, ,gonsering,          ,nighs,        ,posilary, ,zoke,
,Nurse, ,Lisa, ,Parker,", whose ",day, off ,was, ,yesterday,", ",put, on a ,public, ,display, of ,insanity,.
